key,zh,existing_en
"addedToInventory","已放入背包",""
"amulet","護符",""
"armor","防具",""
"blackMarketBought","在黑市購買",""
"blackMarketEnd","黑市交易結束。",""
"blackMarketLimit","已達黑市購買上限（2 件）。",""
"branchAllyJoin","👥 一位流浪戰士加入協助你戰鬥！（下次戰鬥攻擊+20%）",""
"branchAmbush","⚠️ 突然遭遇伏擊！額外的敵人出現！",""
"branchAncientPower","🔥 吸收古老力量！永久攻擊+5",""
"branchBossInsight","🔍 洞察敵人弱點！下次對BOSS傷害+30%",""
"branchCurse","💀 被詛咒！最大生命-10%",""
"branchCurseItem","😈 獲得詛咒物品！強大但有代價",""
"branchDesertGuide","🧭 遇到沙漠嚮導！下5步顯示事件類型",""
"branchDiscount","💰 商人給你折扣！所有物品8折",""
"branchDivineTrial","⚔️ 神聖試煉！擊敗額外守衛獲得神器",""
"branchDoubleLoot","💰💰 雙倍寶藏！",""
"branchEpicLoot","💎 獲得史詩級戰利品！",""
"branchEscapeRoute","🏃 發現逃生路線！（可選擇逃跑）",""
"branchGodBlessing","✨ 獲得神祇祝福！全屬性+10%",""
"branchHealingSpring","💧 治癒之泉！完全恢復生命值",""
"branchHiddenPassage","🚪 發現隱藏通道！跳過3步",""
"branchHiddenTreasure","🗝️ 發現隱藏寶藏！",""
"branchLegendaryLoot","👑 傳說級寶物！",""
"branchOasisBlessing","🌴 綠洲祝福！生命恢復速度+50%（持續）",""
"branchPowerSurge","⚡ 力量激增！攻擊力暫時+50%（3回合）",""
"branchQuicksand","⚠️ 陷入流沙！損失一些金幣",""
"branchRareItem","🎁 商人展示稀有商品！",""
"branchRevengeQuest","⚔️ 接受復仇任務！擊敗特定敵人獲得獎勵",""
"branchSecretChamber","🔓 發現秘密房間！獲得大量金幣",""
"branchSpecialEvent","🎲 觸發特殊事件",""
"branchTreasureDrop","✨ 敵人掉落了稀有寶物！",""
"buriedTreasureFound","🏺 你發現了一個掩埋在沙中的古老陶罐...",""
"buy","購買",""
"cannotEquip","此物品無法裝備。",""
"caravanBuyFood","🍖 你向商隊購買了食物和休息（花費60金幣），HP和體力完全恢復！",""
"caravanGift","🍞 商隊分享了食物和水，HP",""
"combatLuck","戰鬥幸運",""
"consumeStamina","消耗體力",""
"curseGoldLoss","💸 你的金幣憑空消失了",""
"curseHpLoss","💀 詛咒侵蝕你的身體",""
"damageTaken","受到傷害",""
"deadTravelerFound","💀 你發現了一具罹難旅人的遺體...",""
"equip","裝備",""
"equipTo","裝備",""
"equipped","已裝備",""
"eventName_ancient_puzzle","古老謎題",""
"eventName_ancient_shrine","神殿",""
"eventName_bandit_ambush","強盜",""
"eventName_black_market","黑市",""
"eventName_boss","頭目",""
"eventName_buried_treasure","寶藏",""
"eventName_caravan_rest","驛站",""
"eventName_cursed_shrine","詛咒神殿",""
"eventName_dead_traveler","旅者遺體",""
"eventName_desert_oasis","沙漠綠洲",""
"eventName_elite","精英敵人",""
"eventName_empty","平靜路段",""
"eventName_lost_merchant","迷失商隊",""
"eventName_merchant","商人",""
"eventName_mini_boss","小頭目",""
"eventName_mirage","海市蜃樓",""
"eventName_monster","普通敵人",""
"eventName_oasis","綠洲",""
"eventName_pyramid","金字塔",""
"eventName_quicksand","流沙",""
"eventName_sandstorm","沙塵暴",""
"eventName_scorpion_nest","毒蠍巢穴",""
"eventName_trading_post","交易站",""
"evt_js_battle_js_129","${t('encounterEnemyName')}${this.enemy.name}",""
"evt_js_battle_js_129_1","${t('encounterEnemyName')}${this.enemy.name}",""
"evt_js_battle_js_168","${t('pyramidEnemyStrong')}${hpMultiplier.toFixed(1)}、${t('attackX')}${atkMultiplier.toFixed(1)}、${t('strengthX')}${strengthBonus.toFixed(1)}",""
"evt_js_battle_js_168_1","${t('pyramidEnemyStrong')}${hpMultiplier.toFixed(1)}、${t('attackX')}${atkMultiplier.toFixed(1)}、${t('strengthX')}${strengthBonus.toFixed(1)}",""
"evt_js_battle_js_263","🎲 戰鬥幸運發揮，避免屍毒！",""
"evt_js_battle_js_279","💀 屍毒蔓延！每回合失血 ${perTick}（持續 3 回合）",""
"evt_js_battle_js_279_1","💀 屍毒蔓延！每回合失血 ${perTick}（持續 3 回合）",""
"evt_js_battle_js_324","主要符號：${primary}，匹配數：${matchCount}${bonusMsg}，連續 x${effectiveCombo}（乘數 x${comboMultiplier}）",""
